alg,seed,strat,split,tprate,fprate,precision,recall,fscore,acc,time
5827,RandomForest,owasp,3,0.85,0.29,74.10,85.10,0.79,77.85,0.75
5827,RandomForest,owasp,4,0.83,0.23,78.40,83.40,0.81,80.38,0.67
5827,RandomForest,owasp,5,0.84,0.31,73.10,83.50,0.78,76.37,0.67
7421,NaiveBayes,owasp,1,0.68,0.42,61.30,68.10,0.65,62.95,0.21
7421,NaiveBayes,owasp,2,0.54,0.42,56.10,54.20,0.55,56.12,0.22
7421,NaiveBayes,owasp,3,0.60,0.43,57.60,59.60,0.59,58.23,0.21
7421,NaiveBayes,owasp,4,0.61,0.39,60.50,61.30,0.61,60.97,0.21
7421,NaiveBayes,owasp,5,0.65,0.44,59.70,65.00,0.62,60.55,0.21
7421,Logistic,owasp,1,0.82,0.54,59.80,81.70,0.69,63.79,0.37
7421,Logistic,owasp,2,0.79,0.62,55.90,78.80,0.65,58.44,0.35
7421,Logistic,owasp,3,0.78,0.54,58.50,77.90,0.67,61.60,0.36
7421,Logistic,owasp,4,0.77,0.53,59.10,77.40,0.67,62.24,0.36
7421,Logistic,owasp,5,0.79,0.59,57.40,78.90,0.66,60.13,0.36
7421,MultilayerPerceptron,owasp,1,0.87,0.40,68.00,86.80,0.76,73.26,8.82
7421,MultilayerPerceptron,owasp,2,0.85,0.36,70.20,84.70,0.77,74.47,8.72
7421,MultilayerPerceptron,owasp,3,0.89,0.40,68.40,88.50,0.77,74.05,8.65
7421,MultilayerPerceptron,owasp,4,0.51,0.13,79.90,50.60,0.62,69.20,8.15
7421,MultilayerPerceptron,owasp,5,0.80,0.35,69.20,79.70,0.74,72.15,8.95
7421,SMO,owasp,1,0.94,0.64,59.00,93.60,0.72,64.63,0.96
7421,SMO,owasp,2,0.94,0.70,57.20,94.10,0.71,62.03,0.84
7421,SMO,owasp,3,0.86,0.60,58.40,85.50,0.69,62.66,0.93
7421,SMO,owasp,4,0.93,0.61,60.20,93.20,0.73,66.03,1.22
7421,SMO,owasp,5,0.81,0.61,57.00,80.60,0.67,59.92,1.01
7421,KStar,owasp,1,0.86,0.30,73.60,85.50,0.79,77.68,0.23
7421,KStar,owasp,2,0.90,0.30,74.60,89.80,0.82,79.75,0.23
7421,KStar,owasp,3,0.85,0.31,72.60,84.70,0.78,76.58,0.22
7421,KStar,owasp,4,0.80,0.22,78.40,80.40,0.79,79.32,0.22
7421,KStar,owasp,5,0.81,0.30,72.80,81.40,0.77,75.53,0.22
7421,OneR,owasp,1,0.57,0.15,78.20,56.60,0.66,70.74,0.21
7421,OneR,owasp,2,0.60,0.21,73.40,59.70,0.66,69.20,0.21
7421,OneR,owasp,3,0.55,0.16,76.80,54.90,0.64,69.41,0.21
7421,OneR,owasp,4,0.51,0.19,72.60,50.60,0.60,66.03,0.21
7421,OneR,owasp,5,0.62,0.23,73.00,61.60,0.67,69.41,0.22
7421,ZeroR,owasp,1,0.00,0.00,0.00,0.00,0,50.53,0.21
7421,ZeroR,owasp,2,0.00,0.00,0.00,0.00,0,50.21,0.20
7421,ZeroR,owasp,3,0.00,0.00,0.00,0.00,0,50.42,0.20
7421,ZeroR,owasp,4,0.00,0.00,0.00,0.00,0,50.42,0.20
7421,ZeroR,owasp,5,0.00,0.00,0.00,0.00,0,50.00,0.20
7421,J48,owasp,1,0.89,0.28,75.50,89.40,0.82,80.42,0.34
7421,J48,owasp,2,0.92,0.32,73.90,92.40,0.82,79.96,0.35
7421,J48,owasp,3,0.89,0.29,75.10,88.50,0.81,79.75,0.37
7421,J48,owasp,4,0.83,0.23,78.30,83.00,0.81,80.17,0.33
7421,J48,owasp,5,0.86,0.30,74.50,86.10,0.80,78.27,0.35
7421,RandomForest,owasp,1,0.86,0.29,74.40,86.40,0.80,78.53,0.72
7421,RandomForest,owasp,2,0.86,0.32,73.10,86.40,0.79,77.43,0.75
7421,RandomForest,owasp,3,0.86,0.29,74.80,86.00,0.80,78.69,0.68
7421,RandomForest,owasp,4,0.83,0.23,77.90,82.60,0.80,79.75,0.81
7421,RandomForest,owasp,5,0.86,0.30,73.90,86.10,0.80,77.85,0.91
9876,NaiveBayes,owasp,1,0.68,0.42,61.30,68.10,0.65,62.95,0.21
9876,NaiveBayes,owasp,2,0.54,0.42,56.10,54.20,0.55,56.12,0.23
9876,NaiveBayes,owasp,3,0.60,0.43,57.60,59.60,0.59,58.23,0.21
9876,NaiveBayes,owasp,4,0.61,0.39,60.50,61.30,0.61,60.97,0.29
9876,NaiveBayes,owasp,5,0.65,0.44,59.70,65.00,0.62,60.55,0.21
9876,Logistic,owasp,1,0.82,0.54,59.80,81.70,0.69,63.79,0.36
9876,Logistic,owasp,2,0.79,0.62,55.90,78.80,0.65,58.44,0.36
9876,Logistic,owasp,3,0.78,0.54,58.50,77.90,0.67,61.60,0.35
9876,Logistic,owasp,4,0.77,0.53,59.10,77.40,0.67,62.24,0.36
9876,Logistic,owasp,5,0.79,0.59,57.40,78.90,0.66,60.13,0.38
9876,MultilayerPerceptron,owasp,1,0.89,0.37,70.10,88.90,0.78,75.79,8.83
9876,MultilayerPerceptron,owasp,2,0.58,0.16,77.80,58.10,0.67,70.89,8.88
9876,MultilayerPerceptron,owasp,3,0.77,0.28,73.20,76.60,0.75,74.47,8.50
9876,MultilayerPerceptron,owasp,4,0.74,0.23,76.00,74.00,0.75,75.53,8.61
9876,MultilayerPerceptron,owasp,5,0.76,0.30,71.90,75.50,0.74,73.00,9.01
9876,SMO,owasp,1,0.94,0.64,59.00,93.60,0.72,64.63,1.07
9876,SMO,owasp,2,0.94,0.70,57.20,94.10,0.71,62.03,0.89
9876,SMO,owasp,3,0.86,0.60,58.40,85.50,0.69,62.66,0.80
9876,SMO,owasp,4,0.93,0.61,60.20,93.20,0.73,66.03,1.08
9876,SMO,owasp,5,0.81,0.61,57.00,80.60,0.67,59.92,0.85
9876,KStar,owasp,1,0.86,0.30,73.60,85.50,0.79,77.68,0.22
9876,KStar,owasp,2,0.90,0.30,74.60,89.80,0.82,79.75,0.23
9876,KStar,owasp,3,0.85,0.31,72.60,84.70,0.78,76.58,0.22
9876,KStar,owasp,4,0.80,0.22,78.40,80.40,0.79,79.32,0.22
9876,KStar,owasp,5,0.81,0.30,72.80,81.40,0.77,75.53,0.23
9876,OneR,owasp,1,0.57,0.15,78.20,56.60,0.66,70.74,0.21
9876,OneR,owasp,2,0.60,0.21,73.40,59.70,0.66,69.20,0.21
9876,OneR,owasp,3,0.55,0.16,76.80,54.90,0.64,69.41,0.21
9876,OneR,owasp,4,0.51,0.19,72.60,50.60,0.60,66.03,0.20
9876,OneR,owasp,5,0.62,0.23,73.00,61.60,0.67,69.41,0.20
9876,ZeroR,owasp,1,0.00,0.00,0.00,0.00,0,50.53,0.19
9876,ZeroR,owasp,2,0.00,0.00,0.00,0.00,0,50.21,0.20
9876,ZeroR,owasp,3,0.00,0.00,0.00,0.00,0.00,50.42,0.20
9876,ZeroR,owasp,4,0.00,0.00,0.00,0.00,0.00,50.42,0.22
9876,ZeroR,owasp,5,0.00,0.00,0.00,0.00,0,50.00,0.22
9876,J48,owasp,1,0.89,0.28,75.50,89.40,0.82,80.42,0.39
9876,J48,owasp,2,0.92,0.32,73.90,92.40,0.82,79.96,0.37
9876,J48,owasp,3,0.89,0.29,75.10,88.50,0.81,79.75,0.32
9876,J48,owasp,4,0.83,0.23,78.30,83.00,0.81,80.17,0.33
9876,J48,owasp,5,0.86,0.30,74.50,86.10,0.80,78.27,0.34
9876,RandomForest,owasp,1,0.87,0.31,73.10,86.80,0.79,77.68,0.66
9876,RandomForest,owasp,2,0.87,0.29,74.50,86.90,0.80,78.69,0.64
9876,RandomForest,owasp,3,0.85,0.29,74.10,85.10,0.79,77.85,0.62
9876,RandomForest,owasp,4,0.83,0.22,79.00,83.40,0.81,80.80,0.64
9876,RandomForest,owasp,5,0.84,0.31,72.90,84.00,0.78,76.37,0.63
