seed,alg,strat,split,epoch,loss,acc,precision,recall,f1,speed,time
5827,Embed,pw,3,125,0.83,68.354,44.00,30.0,0.36,35.52,116.55
5827,Embed,pw,4,44,7.34,61.538,0,3.00,0,14.59,35.46
5827,Embed,pw,5,1,8.58,74.667,75.00,100,0.85,17.61,0.80
5827,KOT,rand,1,286,0.6,89.333,83.00,97.00,0.89,18.67,263.14
5827,KOT,rand,2,217,0.96,89.333,89.00,89.00,0.89,18.05,195.16
5827,KOT,rand,3,121,3.39,78.261,76.00,68.00,0.72,14.27,106.63
5827,KOT,rand,4,198,0.54,85.526,86.00,84.00,0.85,14.8,178.00
5827,KOT,rand,5,101,0.73,79.452,78.00,77.00,0.76,15.4,87.4
5827,KOTI,rand,1,315,3.38,81.333,83.00,77.00,0.79,19,291.04
5827,KOTI,rand,2,53,5.46,86.667,90.0,80.0,0.85,18.63,45.05
5827,KOTI,rand,3,147,5.12,85.507,78.00,89.00,0.83,14.04,131.55
5827,KOTI,rand,4,300,10.04,82.895,81.00,83.00,0.82,14.93,268.69
5827,KOTI,rand,5,253,0.52,83.562,80.0,82.00,0.81,16.6,237.06
5827,Embed,rand,1,317,0.74,80,77.00,83.00,0.79,18.08,293.03
5827,Embed,rand,2,326,0.63,86.667,86.00,86.00,0.86,17.1,298.38
5827,Embed,rand,3,270,6.07,79.71,74.00,79.00,0.76,13.88,244.15
5827,Embed,rand,4,208,0.61,86.842,84.00,92.00,0.87,14.63,191.50
5827,Embed,rand,5,294,0.51,82.192,77.00,80.0,0.79,16.22,274.77
9876,KOT,pw,1,28,0.55,84,86.00,81.00,0.83,17.74,23.40
9876,KOT,pw,2,234,2.3,86.022,97.00,74.00,0.84,11.32,194.89
9876,KOT,pw,3,76,1.45,67.089,33.00,13.00,0.19,41.3,70.55
9876,KOT,pw,4,217,2.33,76.923,69.00,77.00,0.73,14.22,183.1
9876,KOT,pw,5,134,11.31,77.333,90.0,79.00,0.84,15.66,116.85
9876,KOTI,pw,1,6,16.6,77.333,92.00,61.00,0.73,18.95,5.07
9876,KOTI,pw,2,47,6.42,67.742,62.00,93.00,0.75,11.17,37.23
9876,KOTI,pw,3,1,150.43,64.557,0,0,0,34.82,0.88
9876,KOTI,pw,4,5,16.61,64.103,76.00,19.00,0.3,16.32,3.98
9876,KOTI,pw,5,31,8.51,77.333,77.00,100,0.87,16.08,26.48
9876,Embed,pw,1,152,0.62,82.667,77.00,93.00,0.84,17.4,137.26
9876,Embed,pw,2,40,0.57,82.796,84.00,81.00,0.83,12.22,29.70
9876,Embed,pw,3,185,0.74,70.886,50.0,13.00,0.21,39.51,175.21
9876,Embed,pw,4,46,3.51,61.538,0,3.00,0,14.2,36.38
9876,Embed,pw,5,1,10.19,74.667,75.00,100,0.85,17.64,0.78
9876,KOT,rand,1,235,0.83,86.667,94.00,77.00,0.84,19.31,213.26
9876,KOT,rand,2,232,0.4,86.667,91.00,80.0,0.85,16.94,210.74
9876,KOT,rand,3,125,3.69,81.159,74.00,86.00,0.79,15.01,108.52
9876,KOT,rand,4,279,0.64,81.579,75.00,92.00,0.83,14.96,248.17
9876,KOT,rand,5,284,1.73,83.562,75.00,90.0,0.82,15.55,275.59
9876,KOTI,rand,1,224,1.23,86.667,86.00,86.00,0.86,17.2,216.77
9876,KOTI,rand,2,236,0.74,90.667,89.00,91.00,0.9,15.79,229.75
9876,KOTI,rand,3,172,4.14,79.71,75.00,75.00,0.75,14.08,157.5
9876,KOTI,rand,4,298,1.67,85.526,82.00,89.00,0.85,14.76,264.43
9876,KOTI,rand,5,192,0.51,83.562,78.00,85.00,0.81,16.36,172.09
9876,Embed,rand,1,229,0.47,78.667,74.00,83.00,0.78,16.61,209
9876,Embed,rand,2,261,0.51,85.333,85.00,83.00,0.84,16.84,237.89
9876,Embed,rand,3,312,8.39,84.058,80.0,82.00,0.81,13.73,283.84
9876,Embed,rand,4,305,0.66,86.842,87.00,86.00,0.86,14.9,269.56
9876,Embed,rand,5,288,0.48,84.932,78.00,86.00,0.82,15.9,259.62
