seed,prep,strat,split,emb_dim,batch_size,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
1,Ext,pw,2,8,12,0,95.11,83.87,47,31,15,0,100.00,75.81,50,6.11,305.58,305.58
1,Ext,pw,3,8,12,0,89.41,82.28,13,52,4,10,56.52,76.47,50,6.09,63.95,304.65
1,Ext,pw,4,8,12,0,95.34,80.77,27,36,11,4,87.10,71.05,53,5.76,252.31,305.24
1,Ext,pw,5,8,12,0,93.54,72.00,43,11,8,13,76.79,84.31,54,5.60,207.62,302.51
1,Ext,rand,1,8,12,0,92.00,92.00,34,35,5,1,97.14,87.18,50,6.68,294.70,334.21
1,Ext,rand,2,8,12,0,90.15,92.00,34,35,5,1,97.14,87.18,50,6.16,94.75,307.86
1,Ext,rand,3,8,12,0,93.35,85.51,23,36,5,5,82.14,82.14,50,6.07,108.23,303.54
1,Ext,rand,4,8,12,0,96.91,86.84,33,33,7,3,91.67,82.50,52,5.87,293.12,305.27
1,Ext,rand,5,8,12,0,91.13,89.04,29,36,5,3,90.62,85.29,51,5.94,88.40,302.91
1,Low,pw,1,8,12,0,89.85,77.33,35,23,15,2,94.59,70.00,50,6.26,116.13,313.22
1,Low,pw,2,8,12,0,93.16,86.02,47,33,13,0,100.00,78.33,51,5.98,251.29,305.20
1,Low,pw,3,8,12,0,92.21,82.28,10,55,1,13,43.48,90.91,50,6.10,150.96,305.23
1,Low,pw,4,8,12,0,87.58,75.64,16,43,4,15,51.61,80.00,51,5.89,86.71,300.32
1,Low,pw,5,8,12,0,88.31,73.33,44,11,8,12,78.57,84.62,54,5.62,83.24,303.73
1,Low,rand,1,8,12,0,92.92,90.67,32,36,4,3,91.43,88.89,50,6.58,321.94,328.91
1,Low,rand,2,8,12,0,94.46,88.00,31,35,5,4,88.57,86.11,50,6.30,302.83,315.23
1,Low,rand,3,8,12,0,92.15,82.61,24,33,8,4,85.71,75.00,51,5.99,113.67,305.68
1,Low,rand,4,8,12,0,95.68,88.16,35,32,8,1,97.22,81.40,50,6.04,302.08,302.08
1,Low,rand,5,8,12,0,92.66,91.78,31,36,5,1,96.88,86.11,51,5.99,71.44,305.47
1,Raw,pw,1,8,12,0,92.92,72.00,19,35,3,18,51.35,86.36,61,4.95,104.11,301.84
1,Raw,pw,2,8,12,0,94.79,66.67,44,18,28,3,93.62,61.11,63,4.80,108.14,302.54
1,Raw,pw,3,8,12,0,95.02,79.75,10,53,3,13,43.48,76.92,60,5.01,280.65,300.60
1,Raw,pw,4,8,12,0,49.38,60.26,0,47,0,31,0.00,0.00,61,4.71,4.16,287.28
1,Raw,pw,5,8,12,0,92.31,68.00,44,7,12,12,78.57,78.57,66,4.61,73.96,304.05
1,Raw,rand,1,8,12,0,95.69,90.67,33,35,5,2,94.29,86.84,57,5.32,195.31,303.22
1,Raw,rand,2,8,12,0,96.00,92.00,32,37,3,3,91.43,91.43,60,5.03,178.25,301.57
1,Raw,rand,3,8,12,0,96.07,85.51,23,36,5,5,82.14,82.14,62,4.84,193.75,300.20
1,Raw,rand,4,8,12,0,97.22,90.79,33,36,4,3,91.67,89.19,63,4.81,278.01,302.78
1,Raw,rand,5,8,12,0,96.33,86.30,25,38,3,7,78.12,89.29,62,4.87,157.11,302.05
1234,APS,pw,1,8,12,0,92.62,74.67,25,31,7,12,67.57,78.12,63,4.81,114.23,302.97
1234,APS,pw,2,8,12,0,93.16,84.95,41,38,8,6,87.23,83.67,63,4.83,91.57,304.33
1234,APS,pw,3,8,12,0,90.65,79.75,14,49,7,9,60.87,66.67,60,5.08,59.50,305.03
1234,APS,pw,4,8,12,0,86.96,83.33,26,39,8,5,83.87,76.47,64,4.60,36.57,294.38
1234,APS,pw,5,8,12,0,94.46,78.67,48,11,8,8,85.71,85.71,67,4.48,214.57,300.01
1234,APS,rand,1,8,12,0,97.85,90.67,33,35,5,2,94.29,86.84,61,4.99,299.63,304.43
1234,APS,rand,2,8,12,0,96.92,88.00,31,35,5,4,88.57,86.11,60,5.05,302.79,302.79
1234,APS,rand,3,8,12,0,97.28,81.16,23,33,8,5,82.14,74.19,59,5.09,198.74,300.11
1234,APS,rand,4,8,12,0,93.21,92.11,34,36,4,2,94.44,89.47,63,4.82,163.56,303.89
1234,APS,rand,5,8,12,0,96.33,86.30,28,35,6,4,87.50,82.35,64,4.72,212.03,302.12
1234,ANS,pw,1,8,12,0,87.38,80.00,31,29,9,6,83.78,77.50,65,4.61,36.25,299.96
1234,ANS,pw,2,8,12,0,89.25,90.32,47,37,9,0,100.00,83.93,65,4.65,73.38,302.11
1234,ANS,pw,3,8,12,0,97.20,72.15,1,56,0,22,4.35,100.00,60,5.09,305.47,305.47
1234,ANS,pw,4,8,12,0,83.85,71.79,10,46,1,21,32.26,90.91,63,4.55,22.22,286.65
1234,ANS,pw,5,8,12,0,87.69,77.33,53,5,14,3,94.64,79.10,66,4.59,62.80,303.20
1234,ANS,rand,1,8,12,0,95.08,88.00,32,34,6,3,91.43,84.21,61,5.00,269.74,305.13
