prep,strat,split,emb_dim,batch_size,depth,trainacc,testacc,tp,tn,fp,fn,recall,precision,epoch,epochtime,besttime,trainingtime
Low,rand,3,8,12,0,94.56,82.61,23,34,7,5,82.14,76.67,51,5.90,259.96,300.67
Low,rand,4,8,12,0,92.90,85.53,33,32,8,3,91.67,80.49,50,6.08,235.52,303.87
Low,rand,5,8,12,0,93.27,84.93,27,35,6,5,84.38,81.82,52,5.82,245.35,302.54
Raw,pw,1,8,12,0,89.85,78.67,25,34,4,12,67.57,86.21,66,4.58,39.92,302.53
Raw,pw,2,8,12,0,88.93,93.55,47,40,6,0,100.00,88.68,61,4.82,41.21,294.06
Raw,pw,3,8,12,0,89.41,73.42,2,56,0,21,8.70,100.00,60,5.01,63.90,300.61
Raw,pw,4,8,12,0,86.96,70.51,9,46,1,22,29.03,90.00,63,4.55,31.42,286.82
Raw,pw,5,8,12,0,96.92,77.33,50,8,11,6,89.29,81.97,65,4.68,294.76,303.97
Raw,rand,1,8,12,0,95.38,89.33,34,33,7,1,97.14,82.93,61,4.97,192.44,302.87
Raw,rand,2,8,12,0,95.08,90.67,31,37,3,4,88.57,91.18,62,4.87,267.55,301.89
Raw,rand,3,8,12,0,99.40,86.96,25,35,6,3,89.29,80.65,63,4.79,287.24,301.69
Raw,rand,4,8,12,0,97.53,90.79,33,36,4,3,91.67,89.19,64,4.72,302.34,302.34
Raw,rand,5,8,12,0,97.86,86.30,28,35,6,4,87.50,82.35,62,4.88,302.52,302.52
APS,pw,1,8,12,0,95.69,68.00,19,32,6,18,51.35,76.00,66,4.60,233.22,303.63
APS,pw,3,8,12,0,83.49,79.75,12,51,5,11,52.17,70.59,64,4.71,31.58,301.20
APS,pw,4,8,12,0,90.06,82.05,21,43,4,10,67.74,84.00,68,4.45,38.37,302.44
APS,pw,5,8,12,0,90.77,77.33,47,11,8,9,83.93,85.45,67,4.42,157.66,296.35
APS,rand,1,8,12,0,89.23,93.33,34,36,4,1,97.14,89.47,63,4.84,37.86,304.64
APS,rand,2,8,12,0,96.00,92.00,32,37,3,3,91.43,91.43,63,4.78,190.75,301.30
