@relation rw-all

@attribute rname {PATH_TRAVERSAL_IN,CRLF_INJECTION_LOGS,XSS_SERVLET,XXE_DOCUMENT,PATH_TRAVERSAL_OUT,HTTPONLY_COOKIE,UNVALIDATED_REDIRECT,WEAK_TRUST_MANAGER,WEAK_HOSTNAME_VERIFIER,UNENCRYPTED_SOCKET,HARD_CODE_PASSWORD,COMMAND_INJECTION,SQL_INJECTION_JDBC,XXE_SAXPARSER,XXE_XMLREADER,INSECURE_COOKIE,HTTP_RESPONSE_SPLITTING}
@attribute sinkline numeric
@attribute sinkIdentifier {File,Logger.info,PrintWriter.write,FileInputStream,DocumentBuilder.parse,Log.debug,FileOutputStream,Logger.debug,HttpServletResponse.sendError,Logger.error,null,javax.servlet.http.HttpServletResponse.sendRedirect,Logger.warning,Logger.severe,FileReader,localhost,remotehost,FileWriter,Runtime.exec,Statement.executeQuery,Connection.prepareStatement,Statement.addBatch,Statement.execute,Statement.executeUpdate,Logger.warn,SAXParser.parse,XMLReader.parse,Logger.log,HttpServletResponse.setHeader,ProcessBuilder.command,Connection.nativeSQL,PrintWriter.println}
@attribute witnessLenght numeric
@attribute numClassesInvolved numeric
@attribute rank numeric
@attribute priority numeric
@attribute numBugs {null,1,2,3,10,4,6,5,21,17,9}
@attribute functions numeric
@attribute conditions numeric
@attribute time numeric
@attribute label {falsepositive,truepositive}

@data
PATH_TRAVERSAL_IN,58,File,4,2,7,2,3,1,0,0,falsepositive
COMMAND_INJECTION,98,Runtime.exec,1,1,7,2,1,3,0,0,falsepositive
PATH_TRAVERSAL_IN,434,File,1,1,7,2,4,0,0,0,falsepositive
PATH_TRAVERSAL_IN,462,File,1,1,7,2,4,0,0,0,falsepositive
UNENCRYPTED_SOCKET,500,remotehost,0,0,7,2,4,0,0,0,falsepositive
SQL_INJECTION_JDBC,527,Statement.executeQuery,1,1,7,2,1,1,0,0,falsepositive
SQL_INJECTION_JDBC,80,Connection.prepareStatement,1,1,7,2,4,1,0,0,falsepositive
SQL_INJECTION_JDBC,82,Connection.prepareStatement,1,1,7,2,4,1,0,0,falsepositive
SQL_INJECTION_JDBC,85,Connection.prepareStatement,1,1,7,2,4,1,0,0,falsepositive
SQL_INJECTION_JDBC,87,Connection.prepareStatement,1,1,7,2,4,1,0,0,falsepositive
SQL_INJECTION_JDBC,67,Statement.addBatch,1,1,7,2,6,1,0,0,falsepositive
PATH_TRAVERSAL_IN,125,File,7,1,5,1,3,6,2,0,truepositive
PATH_TRAVERSAL_IN,265,File,12,1,5,1,3,13,2,0,truepositive
PATH_TRAVERSAL_IN,270,File,12,1,5,1,3,14,2,0,truepositive
PATH_TRAVERSAL_IN,75,FileInputStream,1,1,7,2,1,0,0,0,falsepositive
SQL_INJECTION_JDBC,235,Statement.execute,12,1,5,1,2,15,0,0,falsepositive
SQL_INJECTION_JDBC,246,Statement.execute,12,1,5,1,2,15,0,0,falsepositive
SQL_INJECTION_JDBC,105,Connection.prepareStatement,0,0,12,2,5,0,0,0,falsepositive
SQL_INJECTION_JDBC,107,Connection.prepareStatement,0,0,12,2,5,0,0,0,falsepositive
SQL_INJECTION_JDBC,149,Connection.prepareStatement,1,1,12,2,5,1,0,0,falsepositive
SQL_INJECTION_JDBC,184,Statement.execute,0,0,12,2,5,0,0,0,falsepositive
SQL_INJECTION_JDBC,80,Connection.prepareStatement,1,1,12,2,5,1,0,0,falsepositive
XXE_DOCUMENT,257,DocumentBuilder.parse,0,0,7,2,1,0,0,0,falsepositive
SQL_INJECTION_JDBC,1051,Statement.executeUpdate,1,1,12,2,21,1,0,0,falsepositive
SQL_INJECTION_JDBC,1147,Connection.prepareStatement,1,1,12,2,21,1,0,0,falsepositive
